Common name;Other common names;Count;Class;Ecosystem;Scientifc Name;Appendix;Conservation Attention;Geographic Distribution;
Largetooth Sawfish;Common sawfish;1;Chondrichthyes;Aquatic;Pristis pristis;1;Good;;
Chinese Giant Salamander;;1;Amphibia;Aquatic;Andrias davidianus;1;Good;China, Taiwan;
Green Sawfish;Longcomb Sawfish, Longsnout Sawfish, Narrowsnout Sawfish, Olive sawfish;1;Chondrichthyes;Aquatic;Pristis zijsron;1;Low;;
Chinese Crocodile Lizard;Chinese Xenosaur;1;Reptilia;Terrestrial;Shinisaurus crocodilurus;1;Very Low;China, Vietnam;
Bengal Florican;Bengal Bustard;1;Aves;Terrestrial;Houbaropsis bengalensis;1;Medium;Bangladesh, Cambodia, India, Nepal, Vietnam;
Black Rhinoceros;Browse Rhinoceros, Hook-lipped Rhinoceros;1;Mammalia;Terrestrial;Diceros bicornis;1;Good;;
Philippine Eagle;Great Philippine Eagle, Monkey-eating Eagle;1;Aves;Terrestrial;Pithecophaga jefferyi;1;Medium;Philippines;
Hawksbill Turtle;;1;Reptilia;Aquatic;Eretmochelys imbricata;1;Good;;
Gharial;Fish-eating Crocodile, Gavial, Indian gavial, Indian gharial, Long-nosed Crocodile;1;Reptilia;Aquatic;Gavialis gangeticus;1;Good;Bangladesh, Bhutan, India, Myanmar, Nepal, Pakistan;
Round Island Keel-scaled Boa;Keel-scaled boa;1;Reptilia;Terrestrial;Casarea dussumieri;1;Good;Mauritius;
Short-tailed Chinchilla;Chinchilla;1;Mammalia;Terrestrial;Chinchilla chinchilla;1;Very Low;Argentina, Bolivia, Chile, Peru;
Big-headed Turtle;;1;Reptilia;Aquatic;Platysternon megacephalum;1;Low;Cambodia, China, Hong Kong, Lao, Myanmar, Thailand, Vietnam;
Baird's Tapir;Central American Tapir;1;Mammalia;Terrestrial;Tapirus baridii;1;Medium;;
West African Slender-snouted Crocodile;African Sharp-nosed Crocodile, African Slender-snouted Crocodile, Long-snouted Crocodile;1;Reptilia;Aquatic;Crocodylus cataphractus / Mecistops cataphractus;1;Medium;;
Red Ruffed Lemur;;1;Mammalia;Terrestrial;Varecia rubra;1;Good;;
Siberian Crane;Siberian White Crane, Snow Crane;1;Aves;Terrestrial;Grus leucogeranus / Leucogeranus leucogernus;1;Medium;;
Chacoan Peccary;Tagua;1;Mammalia;Terrestrial;Catagonus wagneri;1;Low;Argentina, Bolivia, Paraguay;
Western Gorilla;;1;Mammalia;Terrestrial;Gorilla gorilla;1;Good;;
Volcano Rabbit;;1;Mammalia;Terrestrial;Romerolagus diazi;1;Medium;Mexico;
Mediterranean Monk Seal;Monk seal;1;Mammalia;Aquatic;Monachus monachus;1;Medium;;
