,title_lems
,517
whale,378
zoo,280
bear,276
rhino,270
crocodile,220
endangered,156
new,155
dolphin,147
rare,143
gorilla,136
animal,128
lion,124
elephant,121
tiger,121
park,112
specie,94
wolf,93
cub,84
wildlife,84
white,83
first,82
year,77
population,74
baby,72
found,72
save,69
spotted,69
black,69
leopard,69
video,68
beach,65
wild,65
national,63
world,59
dead,57
gray,57
right,56
dy,55
scientist,54
african,53
last,52
extinction,51
death,50
conservation,50
photo,50
mountain,48
get,47
sun,47
safari,47
day,46
sumatran,46
indian,45
rescued,45
time,45
coast,45
northern,44
–,44
forest,44
san,44
help,43
born,43
river,41
big,41
two,41
find,40
say,39
show,38
diego,38
study,37
zebra,37
extinct,37
near,37
north,37
killed,36
watch,36
u,36
giant,36
one,35
life,35
cheetah,35
human,34
coronavirus,34
home,34
make,34
could,34
marine,34
calf,34
africa,33
grizzly,33
southern,33
sea,33
water,32
asian,32
man,32
panda,32
china,32
may,31
sighting,31
chinese,31
south,30
caught,30
brown,29
fish,29
number,29
india,29
wash,29
asiatic,28
chimpanzee,28
back,28
sanctuary,27
great,27
blue,27
lockdown,27
welcome,27
irrawaddy,26
news,26
see,26
three,26
take,26
fact,26
protect,25
andean,25
rhinoceros,25
sloth,25
poacher,25
hunting,24
trade,24
australia,24
hope,24
india’s,24
call,24
humpback,24
attack,24
birth,23
saving,23
expert,23
critically,23
meet,23
shark,23
florida,23
grey,23
go,23
fishing,23
threat,23
cat,22
male,22
picture,22
face,22
largest,22
researcher,22
kill,22
bay,21
panther,21
hunt,21
habitat,21
island,21
effort,21
ashore,21
camera,20
mammal,20
onehorned,20
ocean,20
javan,20
king,19
need,19
look,19
amur,19
hong,19
illegal,19
sperm,19
five,19
—,18
mexican,18
pet,18
minke,18
best,18
spot,18
dog,18
protection,18
world’s,18
viral,18
know,17
female,17
rescue,17
plan,17
croc,17
denver,17
nepal,17
reserve,17
gharial,17
bile,16
risk,16
inside,16
hunter,16
nature,16
live,16
stranded,16
grevy’s,16
report,16
siberian,16
fight,16
japan,16
washed,16
atlantic,16
killing,16
top,16
research,15
due,15
woman,15
dna,15
ape,15
poaching,15
carcass,15
way,15
western,15
made,15
sawfish,15
celebrates,15
thing,15
global,15
seen,14
police,14
africa’s,14
jaguar,14
conservationist,14
horn,14
return,14
farm,14
malaysia,14
debut,14
released,14
rise,14
survival,14
story,14
egg,14
public,13
change,13
footage,13
plastic,13
mugger,13
california,13
threatened,13
kenya,13
like,13
capture,13
here’s,13
newborn,13
survey,13
reveals,13
exotic,13
fin,13
young,13
sighted,13
people,13
crocs,13
discovered,13
breeding,13
captured,13
keep,13
census,13
west,12
name,12
it’s,12
decade,12
australian,12
road,12
four,12
greater,12
turn,12
offer,12
fisherman,12
second,12
himalayan,12
reptile,12
future,12
queensland,12
creature,12
since,12
state,12
indonesia,12
exhibit,12
head,12
planet,12
history,12
trophy,12
net,12
yangtze,12
siamese,12
american,12
fossil,12
another,12
fund,11
miami,11
away,11
moment,11
iran,11
site,11
stop,11
gir,11
arrested,11
captive,11
amid,11
food,11
bird,11
visitor,11
announces,11
come,11
ban,11
pink,11
area,11
king’,11
photographer,11
increase,11
long,11
decline,11
bowhead,11
pregnant,11
east,11
kong,11
group,11
mystery,11
key,11
book,11
encounter,11
still,11
died,11
gujarat,11
battle,11
case,11
evolution,11
thames,11
ranger,10
love,10
rarest,10
getting,10
commentary,10
iceland,10
odisha,10
uk,10
red,10
snow,10
predator,10
along,10
put,10
safe,10
filmed,10
thailand,10
natural,10
girl,10
huge,10
ship,10
film,10
list,10
support,10
trump,10
give,10
whaling,10
beaked,10
hold,10
clue,10
philippine,10
official,10
project,10
antarctic,10
chance,10
oldest,10
flood,10
brink,10
chester,10
earth,10
‘tiger,10
lowland,9
thai,9
hybrid,9
turtle,9
part,9
season,9
pandemic,9
cam,9
alligator,9
join,9
spectacled,9
rule,9
update,9
zoo’s,9
foal,9
trying,9
here,9
refuge,9
end,9
lake,9
around,9
coming,9
tourist,9
use,9
cause,9
swimming,9
nearly,9
trapped,9
ivory,9
sound,9
la,9
threatens,9
ever,9
named,9
mumbai,9
botswana,9
elusive,9
team,9
chimp,9
move,9
let,9
international,9
meat,9
fighting,9
county,9
amazing,9
alaska,8
catch,8
russian,8
want,8
become,8
saved,8
jungle,8
amazon,8
lead,8
shot,8
free,8
queen,8
colorado,8
test,8
extremely,8
mysterious,8
trap,8
migration,8
birthday,8
local,8
image,8
discover,8
stunning,8
foot,8
point,8
month,8
fall,8
crisis,8
behind,8
monster,8
wale,8
mother,8
family,8
angeles,8
museum,8
across,8
shore,8
much,8
car,8
valley,8
gharials,8
sight,8
good,8
war,8
virus,8
real,8
villager,8
centre,8
close,8
singing,8
kid,8
living,8
kaziranga,8
thought,8
activist,8
stuck,7
disappearing,7
china’s,7
house,7
beached,7
pacific,7
mexico,7
sri,7
arctic,7
record,7
country,7
thanks,7
seek,7
friend,7
final,7
instagram,7
escape,7
mom,7
danger,7
•,7
import,7
myanmar,7
smithsonian’s,7
los,7
removed,7
pup,7
operation,7
