scientific_name;Common Name;iucn_status
Elephas maximus;Asian Elephant;EN
Loxodonta cyclotis;African forest Elephant;CR
Loxodonta africana;African bush Elephant;EN
Dalbergia nigra;Brazilian Rosewood;EN
Manis crassicaudata;Indian Pangolin;EN
Manis culionensis;Philippine Pangolin;CR
Manis gigantea;Giant Ground Pangolin;EN
Manis javanica;Malayan Pangolin;CR
Manis pentadactyla;Chinese Pangolin;CR
Manis temminckii;Cape Pangolin;VU
Manis tetradactyla;Black-bellied Pangolin;VU
Manis tricuspis;Tree Pangolin;EN
Ceratotherium simum;White rhinoceros;NT
Dicerorhinus sumatrensis;Sumatran rhinoceros;CR
Rhinoceros unicornis;Indian rhinoceros;VU
Diceros bicornis;Black rhinoceros;CR
Panthera tigris;Tiger;EN
